depth_m;dens;dd
13.39;573.78;0
13.4;573.78;0
13.41;573.78;0
13.42;573.78;0
13.43;573.78;0
13.44;573.78;0
13.45;573.78;0
13.46;573.78;0
13.47;573.78;0
13.48;573.78;0
13.49;573.78;0
13.5;573.78;0
13.51;573.78;0
13.52;573.78;0
13.53;573.78;0
13.54;573.78;0
13.55;573.78;0
13.56;573.78;0
13.57;573.78;0
13.58;573.78;0
13.59;573.78;0
13.6;573.78;0
13.61;573.78;0
13.62;573.78;0
13.63;573.78;0
13.64;573.78;0
13.65;573.78;0
13.66;573.78;0
13.67;573.78;0
13.68;573.78;0
13.69;573.78;0
13.7;573.78;0
13.71;573.78;0
13.72;573.78;0
13.73;573.78;0
13.74;850;100
13.75;573.78;0
13.76;573.78;0
13.77;573.78;0
13.78;573.78;0
13.79;573.78;0
13.8;850;100
13.81;573.78;0
13.82;573.78;0
13.83;573.78;0
13.84;573.78;0
13.85;573.78;0
13.86;573.78;0
13.87;573.78;0
13.88;573.78;0
13.89;573.78;0
13.9;573.78;0
13.91;573.78;0
13.92;573.78;0
13.93;573.78;0
13.94;573.78;0
13.95;573.78;0
13.96;573.78;0
13.97;573.78;0
13.98;573.78;0
13.99;573.78;0
14;573.78;0
14.01;573.78;0
14.02;573.78;0
14.03;573.78;0
14.04;573.78;0
14.05;573.78;0
14.06;573.78;0
14.07;573.78;0
14.08;573.78;0
14.09;573.78;0
14.1;573.78;0
14.11;573.78;0
14.12;573.78;0
14.13;573.78;0
14.14;573.78;0
14.15;573.78;0
14.16;573.78;0
14.17;573.78;0
14.18;573.78;0
14.19;573.78;0
14.2;573.78;0
